foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
February 1995|February 1995|Report 2850|Two friends witness tall, hairy creature drinking from a pond|Stark County|1995-02-15|-81.35575|40.74065
May 1998|May 1998|Report 2902|Man in boat spotting deer witnesses a three to four foot tall biped walking on a log followed by a scream|Defiance County|1998-05-24|-84.38103|41.2625
1997-2001|1997-2001|Report 3080|A family's encounters with a reddish brown beast outside of Newcomerstown, Ohio|Tuscarawas County|1997-05-01|-81.51749|40.27488
1978|1978|Report 3180|Early evening sighting by two children, near Layman|Washington County|1978-07-04|-81.73172|39.40877
March 2001|March 2001|Report 3248|Bainbridge (Chagrin Falls) Ohio resident reports multiple sightings|Geauga County|2001-10-26|-81.33974|41.39803
January 1978|January 1978|Report 3293|Three fox hunters witness a Freak of nature bear step over a fence and walk into a thicket.|Morrow County|1978-01-01|-82.80257|40.4764
August 1980|August 1980|Report 3301|Daytime sighting in a wooded area a few miles east of Interstate 271|Geauga County|1980-08-15|-81.3726|41.47349
December 1997 -98|December 1997 -98|Report 3315|Nighttime sighting by mother and son in Lynx, near West Union|Adams County|2002-05-26|-83.39134|38.73687
March 1987|March 1987|Report 3351|Late night sighting by teen at Lost Creek Golf Course|Allen County|1987-03-15|-84.06565|40.73412
September 1991|September 1991|Report 3380|Two high school students are chased by large unknown creature|Ashland County|1991-09-15|-82.32803|40.82327
July 1997|July 1997|Report 3381|A group of canoers see a large, black creature along the river bank|Holmes County|1997-07-03|-82.23988|40.59935
1962?|1962?|Report 3651|Sighting in the Audubon wildlife preserve, outside Aurora|Portage County|1962-06-06|-81.30896|41.30265
May 1998|May 1998|Report 3686|Another nighttime incident near Hoadley, off Hoadley Road (Wayne Nat. For.)|Gallia County|1998-05-25|-82.54968|38.79833
September 1998|September 1998|Report 3767|Late night sighting in Wayne National Forest, off Hoadley Road|Gallia County|1998-09-03|-82.55177|38.79381
October 1980|October 1980|Report 3920|Hunters have several encounters near Ash Cave State Park|Hocking County|1980-10-31|-82.52238|39.39935
July 1984|July 1984|Report 4073|White hair covered creature seen at the edge of a cornfield|Washington County|1984-07-04|-81.54855|39.46019
April 1999|April 1999|Report 4176|Evening sighting by two young boys|Adams County|1999-04-26|-83.28128|38.83859
July 1991|July 1991|Report 4200|Late night sighting by motorists on Austin Road in Geneva|Ashtabula County|1991-07-01|-80.93665|41.81835
September 1994|September 1994|Report 4202|Evening sighting by squirrel hunter in woods behind old brick Kilns|Athens County|1994-09-01|-82.24257|39.45789
June 1980/82|June 1980/82|Report 4306|Sighting at a home on Duke Vodrey Rd., above Beaver Creek.|Columbiana County|1980-06-01|-80.55217|40.76533
June 1971|June 1971|Report 4307|Late night sighting by children at a home in Calcutta|Columbiana County|1971-06-30|-80.57164|40.6807
May 2002|May 2002|Report 4409|A series of encounters on Haga Ridge near the Wayne National Forest|Athens County|2002-05-16|-81.85331|39.28537
July 1978 to 1980|July 1978 to 1980|Report 4484|A series of sightings, screams, and smells near an abandoned strip mine|Stark County|1978-07-01|-81.51075|40.67979
June 2002|June 2002|Report 4498|Late afternoon sighting by motorist on I-675 near Beavercreek|Greene County|2002-06-01|-84.09158|39.74961
1977|1977|Report 4556|Midnight sighting by motorist on Coy Rd|Defiance County|1977-01-01|-84.54476|41.34728
June 1997|June 1997|Report 4557|Saturday morning sighting by a motorist on William's Road|Franklin County|1997-06-01|-83.00142|39.89203
October 1998|October 1998|Report 4558|Young squirrel hunter has evening sighting on family property near Birds Run|Guernsey County|1998-10-15|-81.63656|40.17699
July 2002|July 2002|Report 4659|Couple hears vocalization late at night - son finds prints near Okeana|Butler County|2002-07-14|-84.79429|39.37509
June 2001|June 2001|Report 4672|Midnight sighting by two witnesses near Okeana|Butler County|2001-06-06|-84.80138|39.37215
July 1981|July 1981|Report 4731|A woman sitting on a bench in a park sees a large hairy creature behind a four foot wall staring at her|Lake County|1981-07-01|-81.1438|41.7164
July 2002|July 2002|Report 4760|Young man see's a huge hairy ape looking thing under a bridge on the Scioto River|Hardin County|2002-07-18|-83.6118|40.6445
August 2002.1980?|August 2002.1980?|Report 4762|Woman has two evening encounters twenty years apart|Geauga County|2002-08-04|-81.1351|41.5325
November 1976|November 1976|Report 4837|Rabbit hunter witness's a massive creature running through the woods|Ashtabula County|1976-11-01|-80.58163|41.81902
1997|1997|Report 4951|Young hunter has sighting, accompanied by knocking sounds, near Wintersville|Jefferson County|1997-09-30|-80.6937|40.39103
1988|1988|Report 4952|Evening sighting by ice fisherman near Friendship Lake|Jefferson County|1988-12-31|-80.78826|40.2831
1968|1968|Report 4953|Family has sighting on farm along Headleys Mill Road|Licking County|1968-08-01|-82.67252|40.00915
1972|1972|Report 4959|Nightime sighting at a Lake Milton marina|Mahoning County|1972-08-01|-80.9835|41.1174
December 1999|December 1999|Report 4964|Evening sighting by couple near Latham|Pike County|1999-12-22|-83.26393|39.17257
May 1977|May 1977|Report 4970|Case report about a sighting by a boy and local rumors about a bigfoot in area.|Preble County|1977-05-18|-84.62567|39.70042
September 1998|September 1998|Report 4973|Tracks and vocalizations lead to sighting by trappers in Bellville area|Richland County|1998-09-01|-82.48699|40.61236
October 1990|October 1990|Report 4976|Witness has two sightings, ten years apart in Cut Rock area|Scioto County|1990-10-01|-83.12873|38.83628
August 1978|August 1978|Report 4977|Ron Schaffner case report|Stark County|1978-08-21|-81.0758|40.74451
February 2000|February 2000|Report 4978|Prints found following sighting near Mosquito Lake|Trumbull County|2000-02-01|-80.76735|41.36755
1971|1971|Report 4983|Sighting and vocalizations at a home in Wayne National Forest|Washington County|1971-08-01|-81.67339|39.38745
1992|1992|Report 5030|Flap of sightings offers clues pointing to deer predation, similar to evidence found elsewhere in Ohio|Stark County|1992-01-15|-81.19895|40.75872
June 1985|June 1985|Report 5229|Man recalls seeing a strange bipedal animal during his one and only hunting trip|Scioto County|2004-06-25|-82.93085|38.79215
September 1998|September 1998|Report 5267|Young teenager has two sightings less than two months apart in a ravine behind her home|Summit County|1998-10-01|-81.62379|41.23638
May 1983|May 1983|Report 5311|Large hairy creature and footprints seen along fence line on property with past activity|Champaign County|1983-05-01|-83.5556|40.04792
August 1943|August 1943|Report 5333|Man recalls being picked up while child in Mohican Memorial Forest|Ashland County|2004-08-29|-82.26236|40.60787
May 2000|May 2000|Report 5977|A brief encounter with a light colored hair covered creature|Pike County|2000-05-01|-83.0363|39.10611
October 1986|October 1986|Report 6062|Three teenagers witness a thing crouched on the road, stand up, take three quick steps, and jump over the reeds down a hill|Scioto County|1986-10-01|-82.97854|38.74899
May 2003|May 2003|Report 6313|A family witness's a hairy humanlike face in the cars headlights while pulled off the side of the road|Perry County|2003-05-11|-82.1013|39.64193
May 2003|May 2003|Report 6330|A man standing on his back porch watches a large hair covered creature run down the railroad tracks and jump down into the brush|Medina County|2003-05-01|-82.0101|41.03
July 2001|July 2001|Report 6620|A man driving down the road witness's a 'huge creature walk across the road|Columbiana County|2001-07-16|-80.57593|40.68935
July 2003|July 2003|Report 6722|Woman observes a sasquatch behind her fence near Zanesville, Ohio.|Muskingum County|2003-07-26|-81.98721|39.90416
1995 to 2003|1995 to 2003|Report 6804|Two ourtdoorsmen chased by a large bear like biped recount 25+ years of strange occurrences.|Butler County|1986-06-01|-84.45905|39.49695
November 2001|November 2001|Report 6900|Ongoing accounts with a screaming ape-like creature|Columbiana County|2001-11-01|-80.64831|40.77972
July 1963|July 1963|Report 7026|Three teenage boys witness an ape-like creature lope across a field into the woods|Ashland County|1963-07-01|-82.29486|40.85035
1990|1990|Report 7085|Three boys playing games witness a huge creature walking through their front yard|Washington County|1990-07-01|-81.65929|39.3731
July 1980|July 1980|Report 7133|Father, son and cousin enounter a large hair covered creature while wading through a creek|Ross County|1980-07-01|-83.11422|39.49265
November 1978 thru 1982|November 1978 thru 1982|Report 7220|A man relates a series of occurrences on the family farm involving an upright walking hair covered creature|Washington County|1978-11-01|-81.39101|39.54739
October 2003|October 2003|Report 7224|Ongoing Encounters with Fang on old family land|Portage County|2003-10-10|-81.17155|41.13356
November 1958|November 1958|Report 7425|A Teenager and His Dog Encounter an Ape-like Creature While Retrieving Their Trap Lines|Richland County|1958-11-01|-82.44401|40.92276
September 1978|September 1978|Report 7431|Nine year old playing hide and seek comes face to face with a small ape-like creature|Summit County|1978-09-01|-81.4311|41.10765
November 2003|November 2003|Report 7436|Ape-like Face Appears in Window, Startles Woman at Computer|Allen County|2003-11-22|-84.21719|40.80725
September 2003|September 2003|Report 7718|Four teens camping hear grunting or snorting, observe creature walk from corn field into the woods|Miami County|2003-09-03|-84.14493|39.89172
July 1980|July 1980|Report 7803|Three college students witness a large creature standing just off of the railroad tracks.|Athens County|1980-07-01|-82.2244|39.4484
December 2002|December 2002|Report 7932|A young hunter witness's a seven foot tall creature less than 25 feet away|Ross County|2002-12-01|-83.13585|39.20212
June 2000|June 2000|Report 7936|Three people driving slow down to witness a dark biped walking toward the wood line near the Rock Mill Wildlife area|Fairfield County|2000-06-29|-82.70263|39.74107
August 1980|August 1980|Report 7940|Bother and sister are followed by a brown, hairy creature walking on two legs|Lawrence County|1980-08-25|-82.66616|38.54852
September 2001|September 2001|Report 7973|A young teen sees a hairy creature on the family farm while riding his bike.|Medina County|2001-09-25|-81.96419|41.06648
May 2000|May 2000|Report 7995|Young teen is chased by a seven foot tall hairy creature|Vinton County|2000-05-25|-82.47604|39.17029
1986 or 1987?|1986 or 1987?|Report 8017|A family is shocked to see a large, hairy creature run across a forest road with a pack of dogs in pursuit|Vinton County|1987-10-01|-82.41166|39.14299
October 1996|October 1996|Report 8042|Bowhunter turns around to see a creature staring at him almost motionless.|Guernsey County|1996-10-25|-81.69818|40.08946
January 1984|January 1984|Report 8236|Two girls witness a large, hair covered baboon like creature squatting in the middle of the road|Licking County|1984-01-15|-82.28814|40.05998
May 1979|May 1979|Report 8394|Family has encounters with a large, hair covered creature just on the edge of Wayne National Forest|Hocking County|1979-05-01|-82.32669|39.48219
August 1970's-1980's|August 1970's-1980's|Report 8406|Encounters with a hairy creature in the same area as the well known Minerva monster flap.|Stark County|1978-08-01|-81.15622|40.7343
March 2004|March 2004|Report 8446|Three motorists have early morning road sighting near Hardin/Allen county line|Hardin County|2004-03-25|-83.9374|40.6559
August 1976|August 1976|Report 8494|A woman recounts her childhood sighting near Atwood Lake|Carroll County|1976-08-01|-81.26217|40.54605
September 1976|September 1976|Report 8587|A childhood encounter just outside of Wadsworth, Ohio|Medina County|1976-09-01|-81.77677|41.02572
October 2000|October 2000|Report 8778|A possible sighting of the River Styx monster crossing a small clearing|Medina County|2000-10-01|-81.79669|41.06019
May 2002-2004|May 2002-2004|Report 8785|Family has series of experiences north of Steubenville off of State Route 213|Jefferson County|2004-05-01|-80.6616|40.42591
February 1978|February 1978|Report 8836|Brothers have sighting in their backyard during the Blizzard of 1978.|Geauga County|1978-02-05|-81.20629|41.44442
June 1978|June 1978|Report 8944|Mini-bike rider has afternoon encounter near Fulton|Morrow County|1978-06-20|-82.82576|40.46339
August 2004|August 2004|Report 9129|Man has close encounter very near the Grand River State Game Preserve|Trumbull County|2004-08-07|-80.89096|41.42579
August 2004|August 2004|Report 9188|While picnicking in early evening, a couple has sighting at Salt Fork State Park|Guernsey County|2004-08-18|-81.5117|40.1218
